#HIP SpT logT elogT logL elogL
160508.3-201531 M4 3.524 0.015 -0.80 0.015
160508.5-201532 M4 3.518 0.015 -0.90 0.015
160516.1-193830 M4 3.520 0.015 -1.35 0.015
160517.9-202420 M3 3.542 0.015 -0.56 0.015
160521.9-193602 M1 3.563 0.015 -0.83 0.015
160522.7-205111 M4 3.518 0.015 -1.03 0.015
160525.5-203539 M5 3.499 0.015 -1.30 0.015
160528.5-201037 M1 3.569 0.015 -0.85 0.015
160531.3-192623 M5 3.497 0.015 -1.48 0.015
160532.1-193315 M5 3.499 0.015 -1.88 0.015
160545.4-202308 M2 3.560 0.015 -0.98 0.015
160600.6-195711 M5 3.505 0.015 -0.82 0.015
160611.9-193532 M5 3.495 0.015 -1.39 0.015
160619.3-192332 M5 3.505 0.015 -1.37 0.015
160622.8-201124 M5 3.499 0.015 -1.47 0.015
160628.7-200357 M5 3.499 0.015 -1.12 0.015
160629.0-205216 M5 3.497 0.015 -0.99 0.015
160632.1-202053 M5 3.495 0.015 -1.78 0.015
160643.8-190805 K6 3.623 0.015 -0.31 0.015
160647.5-202232 M2 3.557 0.015 -0.70 0.015
160700.1-203309 M2 3.551 0.015 -0.69 0.015
160702.1-201938 M5 3.501 0.015 -1.37 0.015
160704.7-201555 M4 3.511 0.015 -1.39 0.015
160707.7-192715 M2 3.548 0.015 -0.52 0.015
160708.7-192733 M4 3.516 0.015 -1.26 0.015
160710.0-191703 M2 3.551 0.015 -1.23 0.015
160716.0-204443 M4 3.524 0.015 -0.97 0.015
160719.7-202055 M3 3.542 0.015 -0.89 0.015
160722.4-201158 M5 3.491 0.015 -1.47 0.015
160726.8-185521 M1 3.569 0.015 -0.97 0.015
160727.5-201834 M5 3.487 0.015 -1.45 0.015
160735.5-202713 M5 3.505 0.015 -1.57 0.015
160739.4-191747 M2 3.560 0.015 -0.72 0.015
160744.5-203602 M4 3.516 0.015 -0.61 0.015
160745.8-203055 M3 3.530 0.015 -1.87 0.015
160800.5-204028 M5 3.501 0.015 -1.31 0.015
160801.4-202741 K8 3.601 0.015 -0.45 0.015
160801.5-192757 M4 3.524 0.015 -0.76 0.015
160802.4-202233 M5 3.499 0.015 -1.27 0.015
160803.6-181237 M4 3.515 0.015 -1.23 0.015
160804.3-194712 M4 3.516 0.015 -1.17 0.015
160815.3-203811 M3 3.542 0.015 -0.98 0.015
160818.4-190059 M3 3.528 0.015 -1.03 0.015
160822.4-193004 M1 3.571 0.015 -0.43 0.015
160823.2-193001 K9 3.586 0.015 -0.49 0.015
160823.5-191131 M2 3.544 0.015 -0.79 0.015
160823.8-193551 M1 3.569 0.015 -0.47 0.015
160825.1-201224 M1 3.574 0.015 -0.77 0.015
160827.5-194904 M5 3.495 0.015 -1.11 0.015
160841.7-185610 M6 3.483 0.015 -1.61 0.015
160843.1-190051 M4 3.515 0.015 -1.00 0.015
160845.6-182443 M3 3.533 0.015 -0.93 0.015
160854.0-203417 M4 3.518 0.015 -0.90 0.015
160900.0-190836 M5 3.503 0.015 -1.45 0.015
160900.7-190852 K9 3.592 0.015 -0.60 0.015
160903.9-193944 M4 3.520 0.015 -1.10 0.015
160904.0-193359 M4 3.524 0.015 -0.96 0.015
160908.4-200928 M4 3.518 0.015 -0.60 0.015
160913.4-194328 M3 3.537 0.015 -0.97 0.015
160915.8-193706 M5 3.499 0.015 -1.53 0.015
160916.8-183522 M2 3.546 0.015 -0.80 0.015
160926.7-192502 M3 3.528 0.015 -1.16 0.015
160933.8-190456 M2 3.557 0.015 -0.83 0.015
160935.6-182822 M3 3.528 0.015 -1.17 0.015
160936.5-184800 M3 3.532 0.015 -1.14 0.015
160943.8-182302 M4 3.516 0.015 -0.86 0.015
160946.4-193735 M1 3.569 0.015 -0.57 0.015
160953.6-175446 M3 3.539 0.015 -1.03 0.015
160954.4-190654 M1 3.569 0.015 -0.78 0.015
160959.4-180009 M4 3.518 0.015 -1.26 0.015
161007.5-181056 M6 3.474 0.015 -1.70 0.015
161010.4-194539 M3 3.533 0.015 -1.01 0.015
161011.0-194603 M5 3.487 0.015 -1.58 0.015
161014.7-191909 M3 3.535 0.015 -0.97 0.015
161021.5-194132 M3 3.541 0.015 -0.59 0.015
161024.7-191407 M3 3.528 0.015 -0.99 0.015
161026.4-193950 M4 3.516 0.015 -0.87 0.015
161028.1-191043 M4 3.511 0.015 -1.72 0.015
161030.0-183906 M4 3.507 0.015 -1.23 0.015
161030.9-182422 M3 3.535 0.015 -1.04 0.015
161031.9-191305 K7 3.607 0.015 -0.48 0.015
161039.5-191652 M2 3.551 0.015 -0.96 0.015
161043.9-192225 M3 3.539 0.015 -0.83 0.015
161046.3-184059 M4 3.516 0.015 -1.28 0.015
161052.4-193734 M3 3.526 0.015 -1.00 0.015
161110.9-193331 M5 3.501 0.015 -1.46 0.015
161112.3-192737 M5 3.501 0.015 -1.83 0.015
161115.3-175721 M1 3.574 0.015 -0.42 0.015
161116.6-193910 M4 3.513 0.015 -0.77 0.015
161118.1-175728 M4 3.515 0.015 -0.69 0.015
161118.2-180358 M6 3.476 0.015 -1.65 0.015
161120.4-191937 M2 3.544 0.015 -1.00 0.015
161123.0-190522 M3 3.528 0.015 -0.74 0.015
161129.4-194224 M6 3.483 0.015 -1.49 0.015
161133.6-191400 M3 3.537 0.015 -0.79 0.015
161146.1-190742 M5 3.503 0.015 -1.37 0.015
161156.2-194323 M3 3.542 0.015 -0.97 0.015
161247.2-190353 M6 3.485 0.015 -1.78 0.015
161248.9-180052 M3 3.530 0.015 -0.92 0.015
161328.0-192452 M5 3.491 0.015 -1.73 0.015
161347.5-183459 M2 3.544 0.015 -0.98 0.015
161358.1-184828 M2 3.553 0.015 -0.76 0.015
161420.2-190648 K5 3.630 0.015 -0.59 0.015
161433.6-190013 M2 3.551 0.015 -0.60 0.015
161437.5-185823 M3 3.533 0.015 -1.42 0.015
