# PMS Stars in Upper Scorpius
# 
# Table 1 from Preibisch & Zinnecker (1999, AJ, 117, 2381)
# "The History of Low-Mass Star Formation in the Upper Scorpius OB Association"
# 
# URL: http://iopscience.iop.org/article/10.1086/300842
#
# Upper Sco	Cat	SpT	RASS	B	I	R-I	Av	logTe	logL/Ls	  M	Age
#---------------------------------------------------------------------------------------------------
160856.7-203346	P98	K5	RC	13.3	10.86	0.92	1.4	3.630	-0.113	0.70	1.8
160930.3-210459	P98	M0	RC	13.8	11.14	0.81	0.0	3.576	-0.476	0.47	2.0
160941.0-221759	P98	M0	RC	13.8	11.06	0.84	0.0	3.576	-0.444	0.45	1.8
161019.1-250230	P98	M1	RC	13.0	9.76	1.01	0.0	3.564	0.087	0.28	0.1
161021.7-190406	W94	M1	RnC	15.0	12.26	1.45	2.1	3.564	-0.511	0.40	1.8
161028.5-190446	W94	M3	-	14.5	11.42	1.27	0.2	3.538	-0.513	0.28	0.9
161042.0-210132	P98	K5	RC	13.4	10.74	0.94	1.5	3.630	-0.046	0.66	1.1
161108.9-190446	W94	K2	RC	12.4	10.17	0.89	1.7	3.658	0.216	0.84	1.0
161120.6-182054	W94	K5	RnC	13.2	10.73	0.83	1.0	3.630	-0.143	0.70	1.8
161156.3-230404	P98	M1	RC	14.2	10.91	1.18	0.8	3.564	-0.217	0.32	0.5
161159.2-190652	W94	K0	RC	12.0	10.18	0.75	1.3	3.676	0.120	1.12	2.5
161220.9-190903	W94	M2.5	-	15.5	12.68	1.36	0.9	3.545	-0.888	0.30	3.0
161240.5-185927	W94	K0	RC	12.6	9.38	0.72	1.1	3.676	0.413	1.01	0.8
161302.7-225744	P98	K4	RC	12.6	10.38	1.08	2.3	3.639	0.257	0.64	0.5
161318.6-221248	P98	G9	RC	11.3	9.25	0.66	0.9	3.685	0.425	1.18	1.0
161329.3-231106	P98	K1	RC	12.5	10.29	0.92	2.0	3.667	0.215	0.95	1.2
161402.1-230101	P98	G4	RC	12.2	10.06	0.81	2.0	3.724	0.297	1.50	5.0
161411.0-230536	P98	K0	RC	11.5	9.19	0.99	2.4	3.676	0.736	1.02	0.3
161459.2-275023	P98	G5	RC	11.8	10.11	0.61	1.0	3.717	0.083	1.28	9.0
161534.6-224241	P98	M1	RC	13.2	10.38	1.06	0.3	3.564	-0.115	0.29	0.3
161618.0-233947	P98	G7	RC	11.3	9.55	0.67	1.1	3.701	0.339	1.47	2.2
161731.4-230334	W94	G0	RC	10.3	9.14	0.47	0.5	3.750	0.400	1.43	9.0
161933.9-222828	P98	K0	RC	12.0	10.09	0.75	1.3	3.676	0.156	1.10	2.0
162046.0-234820	P98	K3	RC	13.4	10.70	1.03	2.2	3.649	0.109	0.78	1.0
162307.8-230059	P98	K2	RC	12.7	10.18	0.69	0.8	3.658	0.029	0.93	2.0
162948.6-215211	W94	K0	RC	11.9	9.77	0.71	1.1	3.676	0.248	1.08	1.8
